EID
2-s2.0-78649792580
2-s2.0-78049492966
2-s2.0-78049463641
2-s2.0-78651255602
2-s2.0-77955569934
2-s2.0-77955145471
2-s2.0-77955136947
2-s2.0-77953330270
2-s2.0-77249159466
2-s2.0-77953899818
2-s2.0-71449118322
2-s2.0-67649511992
2-s2.0-67649467709
2-s2.0-60549110217
2-s2.0-64549106993
2-s2.0-64549151021
2-s2.0-51649100007
2-s2.0-58749102194
2-s2.0-77953886818
2-s2.0-57849146227
2-s2.0-55849110002
2-s2.0-50249161541
2-s2.0-43749091288
2-s2.0-70449633074
2-s2.0-35348840879
2-s2.0-34247134446
2-s2.0-34249720042
2-s2.0-33846027145
2-s2.0-77954012237
2-s2.0-33947380961
2-s2.0-34249104797
2-s2.0-33847380621
2-s2.0-33845591396
2-s2.0-33748711820
2-s2.0-33748084048
2-s2.0-33749369460
2-s2.0-33747326870
2-s2.0-33745764008
2-s2.0-28844493164
2-s2.0-28844450091
2-s2.0-23844507554
2-s2.0-23844549653
2-s2.0-17944366710
2-s2.0-77954010863
2-s2.0-12344284936
2-s2.0-4444223992
2-s2.0-4644283093
2-s2.0-42749100935
2-s2.0-42749106420
2-s2.0-45849155026
2-s2.0-77953978563
2-s2.0-14844281935
2-s2.0-2342584668
2-s2.0-2342454370
2-s2.0-42749099994
2-s2.0-1342339597
2-s2.0-0141525381
2-s2.0-0038559883
2-s2.0-0038376314
2-s2.0-0037718317
2-s2.0-0036939460
2-s2.0-0036935214
2-s2.0-0036939470
2-s2.0-41349094507
2-s2.0-41349092899
2-s2.0-37649030228
2-s2.0-0042379768
2-s2.0-0035633990
2-s2.0-0035606798
2-s2.0-0035633987
2-s2.0-0035473977
2-s2.0-0035442005
2-s2.0-4043158066
2-s2.0-0035876535
2-s2.0-0035364750
2-s2.0-0034318879
2-s2.0-0000666074
2-s2.0-4243227939
2-s2.0-0003000719
2-s2.0-0000141337
2-s2.0-0041154258
2-s2.0-0347264730
2-s2.0-0001320956
2-s2.0-0032142525
2-s2.0-0031189983
2-s2.0-4243648614
2-s2.0-6244285371
2-s2.0-4243977961
2-s2.0-0009542567
