2-s2.0-78651578163
2-s2.0-84887938037
2-s2.0-84887831819
2-s2.0-84858652794
2-s2.0-79251482489
2-s2.0-78649792580
2-s2.0-77951107511
2-s2.0-78049492966
2-s2.0-78049463641
2-s2.0-78651529570
2-s2.0-77956342127
2-s2.0-78349268079
2-s2.0-77953330270
2-s2.0-77956875070
2-s2.0-79951978860
2-s2.0-77953521007
2-s2.0-77952323090
2-s2.0-84901044743
2-s2.0-72449163469
2-s2.0-84923597976
2-s2.0-77956200202
2-s2.0-77950875518
2-s2.0-77950273380
2-s2.0-71449118322
2-s2.0-70349932546
2-s2.0-69549103028
2-s2.0-69949087763
2-s2.0-69949090037
2-s2.0-67650675382
2-s2.0-67650630255
2-s2.0-67649511992
2-s2.0-67649467709
2-s2.0-60549110217
2-s2.0-84861870807
2-s2.0-77950763384
2-s2.0-64549106993
2-s2.0-64549151021
2-s2.0-51649100007
2-s2.0-58749102194
2-s2.0-70449585278
2-s2.0-84901989001
2-s2.0-51849120072
2-s2.0-60749114776
2-s2.0-67650470770
2-s2.0-77953886818
2-s2.0-78651556836
2-s2.0-78049501549
2-s2.0-57849146227
2-s2.0-55849110002
2-s2.0-51749092638
2-s2.0-51749090012
2-s2.0-38449095077
2-s2.0-70449633074
2-s2.0-84907052698
2-s2.0-35348840879
2-s2.0-84907044657
2-s2.0-50249084573
2-s2.0-41949093230
2-s2.0-84869851321
2-s2.0-50249086460
2-s2.0-41949087024
2-s2.0-34548656019
2-s2.0-34247134446
2-s2.0-34249720042
2-s2.0-33846027145
2-s2.0-34249104797
2-s2.0-33947363727
2-s2.0-34250218207
2-s2.0-33847380621
2-s2.0-33947114782
2-s2.0-34748905206
2-s2.0-33751535189
2-s2.0-34748913563
2-s2.0-33749369460
2-s2.0-33747326870
2-s2.0-33745764008
2-s2.0-33745472143
2-s2.0-33745470516
2-s2.0-17944366710
2-s2.0-4344585538
2-s2.0-2342584668
2-s2.0-2342454370
2-s2.0-0742322295
2-s2.0-0038559883
2-s2.0-0036939460
2-s2.0-0036935214
2-s2.0-0036939470
2-s2.0-0042379768
2-s2.0-0035606798
2-s2.0-0035633987
