nom,nom,nom,nom,num
A,S,J,O,AS,R
0,1,1,0,24138126.0,1
1,0,1,0,24138136.0,1
0,1,0,0,24138084.0,0
0,0,1,0,24138110.0,0
0,0,1,0,24138090.0,0
0,0,1,0,24138088.0,0
1,0,1,0,24138136.0,1
0,0,1,0,24138136.0,0
0,1,0,0,24138088.0,0
0,1,0,0,24138116.0,0
1,0,1,0,24138104.0,1
1,1,1,1,24137940.0,1
0,0,1,0,24138110.0,0
0,0,1,0,24138096.0,0
0,0,1,0,24138110.0,0
0,0,1,0,24138134.0,0
0,0,1,0,24138110.0,0
0,0,1,0,24138110.0,0
0,0,1,0,24138110.0,0
1,0,0,0,24138128.0,0
0,0,1,0,24138110.0,0
0,0,1,0,24138110.0,0
0,0,1,0,24138110.0,0
0,0,1,0,24138106.0,0
0,0,1,0,24138110.0,0
0,0,1,0,24138096.0,0
0,0,1,0,24138110.0,0
0,0,1,0,24138136.0,0
0,0,1,0,24138136.0,0
1,0,0,0,24115170.0,0
0,1,0,0,24138126.0,0
0,0,1,0,24138110.0,0
0,0,1,0,24138096.0,0
0,0,1,0,24138110.0,0
0,1,0,0,24138132.0,0
1,0,0,0,24138134.0,0
0,1,0,1,24138132.0,0
0,1,0,0,24138106.0,0
0,1,0,0,24138134.0,0
0,1,0,0,24138116.0,0
