nom,nom,nom,nom,num
A,S,J,O,AS,R
0,0,0,0,24138128.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138130.0,0
0,0,0,0,24131842.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,1,0,0,22502876.0,0
0,0,0,0,24138136.0,0
0,0,0,0,23655986.0,0
0,1,0,0,22469248.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
1,0,0,0,24138106.0,0
1,1,0,1,24138128.0,1
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24117518.0,0
0,0,0,0,24138128.0,0
0,0,0,0,24112822.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138134.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
1,1,0,0,24138126.0,1
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,1,0,0,22695198.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
1,1,0,1,24137978.0,1
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138122.0,0
0,1,0,0,22695198.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,1,0,0,22695198.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138136.0,0
0,0,0,0,24138122.0,0
0,0,0,0,24138136.0,0
