nom,nom,nom,nom,num,num,num
A,S,J,O,AD,CC,APL,AS,R
0,1,0,0,2810.83540155,0.897250893565,1.2776547631,5268.76047764,0
0,1,0,0,2808.66651054,0.897301109495,1.27811463485,5262.11896956,0
1,0,0,0,2890.51476986,0.895948036475,1.27598813877,5527.38859629,0
1,1,0,1,2889.8543956,0.895948036377,1.27598830308,5526.12820513,1
1,1,0,0,2890.51476986,0.89594803656,1.27095400271,5527.39317609,1
0,1,0,0,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
1,1,0,1,2890.49736661,0.89594836846,1.21036041554,5527.35928555,1
0,1,0,0,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
0,1,0,0,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
0,1,0,0,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
1,0,0,0,2890.51339592,0.895948041742,1.27593634901,5527.39180215,1
1,1,0,1,2891.83688431,0.895948036186,1.27598866151,5529.92348225,1
1,1,1,1,2888.45192308,0.895936536192,1.2695928522,5524.66208791,1
0,1,0,0,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
0,1,0,0,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
0,1,0,0,2890.5024044,0.89594804193,1.27598432094,5527.37485688,0
0,1,0,0,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
0,1,0,1,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
0,1,0,0,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
0,1,0,0,2817.66932084,0.897241321574,1.27552961006,5286.69882904,0
0,1,0,0,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
0,1,0,0,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
0,1,0,0,2806.03138173,0.897362649752,1.27891483196,5257.01077283,0
0,1,0,0,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
0,1,0,0,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
0,1,0,0,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
0,1,0,0,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
0,1,0,0,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
0,1,0,0,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
0,1,0,0,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
0,1,0,0,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
0,1,0,0,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
0,1,0,1,2890.51476986,0.895948036532,1.27598805025,5527.39271811,0
0,1,0,0,2889.83928571,0.895948056944,1.27571789275,5526.10210623,0
0,1,0,0,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
0,1,0,0,2889.85485348,0.895948036334,1.27598835785,5526.12957875,0
0,1,0,0,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
0,1,0,0,2817.4034184,0.895810884436,1.27579569061,5313.79021306,0
0,1,0,0,2809.02739405,0.897223148411,1.27777391489,5263.85343011,0
1,1,0,0,2891.8139748,0.8959483709,1.21030316367,5529.87857961,1
0,1,0,0,2895.1266055,0.895948042481,1.27598088207,5536.22293578,0
0,1,1,1,2892.44087993,0.895948097988,1.27553322121,5531.07149404,1
1,0,1,0,2889.19066148,0.895948041742,1.27593631528,5524.86198215,1
1,1,0,1,2889.8543956,0.895948036377,1.27598830308,5526.12820513,1
0,0,1,0,2890.51568583,0.89594803632,1.27598842533,5527.39317609,0
1,0,0,0,2890.51476986,0.895948036475,1.27598813877,5527.38905427,0
0,1,0,0,2891.83550974,0.895948036822,1.2759654604,5529.92210767,0
0,1,0,0,2889.83745421,0.895948057142,1.27571758481,5526.10027473,0
1,1,0,0,2891.15574897,0.895948369462,1.21035042921,5528.62024737,1
0,0,1,0,2889.85164835,0.895948036785,1.27598770892,5526.11263736,0
1,1,0,1,2891.81305842,0.895948371411,1.21028625253,5529.87583047,1
0,1,0,0,2893.80467675,0.895948056425,1.27571860072,5533.69371848,0
1,0,0,0,2891.1763628,0.895948036275,1.27598852655,5528.65872652,0
0,1,0,0,2805.93161593,0.89735895597,1.27582537058,5255.54051522,0
0,0,1,0,2890.51568583,0.89594803632,1.27598842533,5527.39271811,0
0,0,1,0,2890.51568583,0.89594803632,1.27598842533,5527.39271811,0
0,1,0,0,1359.09380379,0.949398962104,1.30156326056,1681.05851979,0
0,1,0,0,1368.72578562,0.949738529254,1.30461628977,1695.86741283,0
0,1,0,0,2890.51339592,0.895948037153,1.2691160833,5527.38997023,0
1,0,1,0,2894.46182068,0.895948052601,1.27587170235,5534.95666132,1
1,0,0,0,2889.85347985,0.895948037978,1.27590180625,5526.12774725,1
0,1,0,0,2893.13041485,0.895948055981,1.27572230213,5532.41668577,0
1,1,0,0,2893.76707932,0.895948095305,1.27557040805,5533.59743237,1
1,1,0,0,2893.76707932,0.895948095305,1.27557040805,5533.59743237,1
0,0,1,0,2889.85164835,0.895948036785,1.27598770892,5526.11263736,0
0,1,0,0,2899.09232889,0.895948028038,1.27599237293,5543.84336243,0
0,1,0,0,2892.47525206,0.895948064789,1.27592212,5531.13428048,1
0,1,0,0,2891.15849748,0.895948061378,1.27592877975,5528.61429226,1
1,0,0,0,2892.49725023,0.895948036038,1.27598883021,5531.18285976,0
1,1,0,0,2891.81993127,0.895948050625,1.27592903623,5529.89736541,1
0,1,0,1,2890.51568583,0.89594803632,1.27598842533,5527.39409205,1
0,1,0,0,2890.50652622,0.895948040646,1.27598843455,5527.3789787,0
0,1,0,0,2891.82588774,0.895948041322,1.27598432927,5529.90652921,0
0,0,1,0,2889.85485348,0.895948036334,1.27598835785,5526.12957875,0
0,1,0,0,2890.49919853,0.895948057142,1.27571758481,5527.36569728,0
0,1,0,0,2892.48670944,0.895948041871,1.27598452338,5531.17186068,1
1,0,0,0,2889.19386587,0.895948036334,1.27598832411,5524.86518654,1
1,1,0,1,2891.81718213,0.895948369447,1.21035048217,5529.88591065,1
1,1,1,1,2893.12537245,0.895948075916,1.27587767255,5532.35846894,1
0,1,0,0,2802.48852459,0.895377675955,1.27972608222,5281.50725995,0
0,1,0,0,2822.11395349,0.894276922824,1.280277284,5338.90930233,0
1,1,0,1,2891.1548328,0.895948050909,1.27591435329,5528.62803481,1
0,1,0,0,2889.85119048,0.895948038861,1.26148339914,5526.12591575,1
1,1,0,1,2890.49324479,0.895948369662,1.21034893157,5527.35104191,1
1,1,0,0,2891.15529088,0.895948369662,1.21034893157,5528.61704077,1
0,1,0,0,2889.19386587,0.895948036334,1.27598832411,5524.86518654,0
